127.0.0.1 - - [13/Oct/2021:13:16:39 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [13/Oct/2021:13:16:42 +0900] "GET /day2/requestExam.jsp HTTP/1.1" 200 1124
0:0:0:0:0:0:0:1 - - [13/Oct/2021:13:20:20 +0900] "GET /day2/requestExam.jsp HTTP/1.1" 200 1323
0:0:0:0:0:0:0:1 - - [13/Oct/2021:13:31:54 +0900] "GET /day2/form.jsp HTTP/1.1" 200 710
0:0:0:0:0:0:0:1 - - [13/Oct/2021:13:35:08 +0900] "GET /day2/form.jsp HTTP/1.1" 200 1064
0:0:0:0:0:0:0:1 - - [13/Oct/2021:13:39:05 +0900] "GET /day2/form.jsp HTTP/1.1" 200 1064
0:0:0:0:0:0:0:1 - - [13/Oct/2021:13:39:53 +0900] "GET /day2/form.jsp HTTP/1.1" 200 1280
0:0:0:0:0:0:0:1 - - [13/Oct/2021:13:41:28 +0900] "GET /day2/form.jsp HTTP/1.1" 200 1333
0:0:0:0:0:0:0:1 - - [13/Oct/2021:13:42:09 +0900] "GET /day2/form.jsp HTTP/1.1" 200 1352
0:0:0:0:0:0:0:1 - - [13/Oct/2021:13:42:34 +0900] "GET /day2/form.jsp HTTP/1.1" 200 1352
0:0:0:0:0:0:0:1 - - [13/Oct/2021:13:45:40 +0900] "GET /day2/form.jsp HTTP/1.1" 200 1516
0:0:0:0:0:0:0:1 - - [13/Oct/2021:13:46:27 +0900] "POST /day2/join.jsp HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [13/Oct/2021:13:50:31 +0900] "GET /day2/requestExam.jsp HTTP/1.1" 200 1433
0:0:0:0:0:0:0:1 - - [13/Oct/2021:13:50:41 +0900] "GET /day2/form.jsp HTTP/1.1" 200 1856
0:0:0:0:0:0:0:1 - - [13/Oct/2021:13:50:48 +0900] "POST /day2/join.jsp HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [13/Oct/2021:13:51:14 +0900] "GET /day2/form.jsp HTTP/1.1" 200 1856
0:0:0:0:0:0:0:1 - - [13/Oct/2021:14:11:31 +0900] "GET /day2/form.jsp HTTP/1.1" 200 1856
0:0:0:0:0:0:0:1 - - [13/Oct/2021:14:14:54 +0900] "GET /day2/form.jsp HTTP/1.1" 200 1856
0:0:0:0:0:0:0:1 - - [13/Oct/2021:14:15:14 +0900] "POST /day2/join.jsp HTTP/1.1" 200 227
0:0:0:0:0:0:0:1 - - [13/Oct/2021:14:18:35 +0900] "GET /day2/form.jsp HTTP/1.1" 200 1856
0:0:0:0:0:0:0:1 - - [13/Oct/2021:14:19:05 +0900] "POST /day2/join.jsp HTTP/1.1" 200 255
0:0:0:0:0:0:0:1 - - [13/Oct/2021:14:23:29 +0900] "GET /day2/form.jsp HTTP/1.1" 200 1856
0:0:0:0:0:0:0:1 - - [13/Oct/2021:14:23:37 +0900] "POST /day2/join.jsp HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [13/Oct/2021:14:24:28 +0900] "GET /day2/form.jsp HTTP/1.1" 200 1856
0:0:0:0:0:0:0:1 - - [13/Oct/2021:14:24:49 +0900] "POST /day2/join.jsp HTTP/1.1" 200 294
0:0:0:0:0:0:0:1 - - [13/Oct/2021:14:25:41 +0900] "GET /day2/form.jsp HTTP/1.1" 200 1856
0:0:0:0:0:0:0:1 - - [13/Oct/2021:14:25:52 +0900] "POST /day2/join.jsp HTTP/1.1" 200 267
0:0:0:0:0:0:0:1 - - [13/Oct/2021:14:28:50 +0900] "GET /day2/form.jsp HTTP/1.1" 200 1864
0:0:0:0:0:0:0:1 - - [13/Oct/2021:14:29:00 +0900] "POST /day2/join.jsp HTTP/1.1" 200 251
0:0:0:0:0:0:0:1 - - [13/Oct/2021:14:49:24 +0900] "GET /day2/redirect.jsp HTTP/1.1" 200 718
0:0:0:0:0:0:0:1 - - [13/Oct/2021:14:49:31 +0900] "POST /day2/join_redirect.jsp HTTP/1.1" 200 203
0:0:0:0:0:0:0:1 - - [13/Oct/2021:14:49:33 +0900] "GET /day2/redirect.jsp HTTP/1.1" 200 718
0:0:0:0:0:0:0:1 - - [13/Oct/2021:14:49:36 +0900] "POST /day2/join_redirect.jsp HTTP/1.1" 200 202
0:0:0:0:0:0:0:1 - - [13/Oct/2021:14:49:38 +0900] "GET /day2/redirect.jsp HTTP/1.1" 200 718
0:0:0:0:0:0:0:1 - - [13/Oct/2021:14:50:53 +0900] "GET /day2/redirect.jsp HTTP/1.1" 200 718
0:0:0:0:0:0:0:1 - - [13/Oct/2021:14:50:57 +0900] "POST /day2/join_redirect.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Oct/2021:14:50:57 +0900] "GET /day2/redirect.jsp HTTP/1.1" 200 718
0:0:0:0:0:0:0:1 - - [13/Oct/2021:15:11:07 +0900] "GET /day2/redirect.jsp HTTP/1.1" 200 718
0:0:0:0:0:0:0:1 - - [13/Oct/2021:15:11:13 +0900] "POST /day2/join_redirect.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Oct/2021:15:11:13 +0900] "GET /day2/redirect_check.jsp?para=%EB%8C%80%ED%95%9C%EB%AF%BC%EA%B5%AD HTTP/1.1" 200 161
0:0:0:0:0:0:0:1 - - [13/Oct/2021:15:18:03 +0900] "GET /day2/redirect.jsp HTTP/1.1" 200 718
